college_code,college_name,course_code,course_name,category,rank,percentage,status,university,seat_type
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,GOPENS,2531,99.24,Government Autonomous,,Other University
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,GOBCS,22722,93.18,Government Autonomous,,Home University
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,GNT1S,68765,79.37,Government,,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,LOPENH,35597,89.32,Government,,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,DEFOPENS,10604,96.82,Government,,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,TFWS,16248,95.13,Government Aided,,State Level
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,PWDOPENS,16644,95.01,Government,,Other University
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,ORPHAN,25528,92.34,Government Aided,,State Level
1002,"Government College of Engineering, Amravati",421019210,Computer Science and Engineering,GOPENS,5347,98.4,Government,,State Level
1002,"Government College of Engineering, Amravati",421019210,Computer Science and Engineering,GOBCS,35861,89.24,Government,,Other University
1002,"Government College of Engineering, Amravati",421019210,Computer Science and Engineering,GNT1S,5985,98.2,Government Aided,,Home University
1002,"Government College of Engineering, Amravati",421019210,Computer Science and Engineering,LOPENH,53173,84.05,Government Autonomous,,Other University
1002,"Government College of Engineering, Amravati",421019210,Computer Science and Engineering,DEFOPENS,14623,95.61,Government Aided,,Home University
1002,"Government College of Engineering, Amravati",421019210,Computer Science and Engineering,TFWS,22856,93.14,Government,,Home University
1002,"Government College of Engineering, Amravati",421019210,Computer Science and Engineering,PWDOPENS,45275,86.42,Government Aided,,Home University
1002,"Government College of Engineering, Amravati",421019210,Computer Science and Engineering,ORPHAN,20971,93.71,Government Autonomous,,Other University
1002,"Government College of Engineering, Amravati",461019610,Information Technology,GOPENS,21425,93.57,Government Aided,,State Level
1002,"Government College of Engineering, Amravati",461019610,Information Technology,GOBCS,15006,95.5,Government,,State Level
1002,"Government College of Engineering, Amravati",461019610,Information Technology,GNT1S,28808,91.36,Government,,Home University
1002,"Government College of Engineering, Amravati",461019610,Information Technology,LOPENH,13251,96.02,Government Autonomous,,Other University
1002,"Government College of Engineering, Amravati",461019610,Information Technology,DEFOPENS,48172,85.55,Government Aided,,Home University
1002,"Government College of Engineering, Amravati",461019610,Information Technology,TFWS,4824,98.55,Government Autonomous,,Other University
1002,"Government College of Engineering, Amravati",461019610,Information Technology,PWDOPENS,16719,94.98,Government Aided,,Home University
1002,"Government College of Engineering, Amravati",461019610,Information Technology,ORPHAN,34427,89.67,Government,,Other University
1002,"Government College of Engineering, Amravati",931019310,Electrical Engineering,GOPENS,27292,91.81,Government,,Other University
1002,"Government College of Engineering, Amravati",931019310,Electrical Engineering,GOBCS,33222,90.03,Government Autonomous,,Home University
1002,"Government College of Engineering, Amravati",931019310,Electrical Engineering,GNT1S,29847,91.05,Government Aided,,Home University
1002,"Government College of Engineering, Amravati",931019310,Electrical Engineering,LOPENH,24018,92.79,Government Autonomous,,Other University
1002,"Government College of Engineering, Amravati",931019310,Electrical Engineering,DEFOPENS,13404,95.98,Government Autonomous,,Home University
1002,"Government College of Engineering, Amravati",931019310,Electrical Engineering,TFWS,9122,97.26,Government,,Other University
1002,"Government College of Engineering, Amravati",931019310,Electrical Engineering,PWDOPENS,4316,98.71,Government Aided,,Other University
1002,"Government College of Engineering, Amravati",931019310,Electrical Engineering,ORPHAN,56966,82.91,Government Autonomous,,Other University
1002,"Government College of Engineering, Amravati",721017210,Electronics and Telecommunication Engg,GOPENS,28444,91.47,Government,,Home University
1002,"Government College of Engineering, Amravati",721017210,Electronics and Telecommunication Engg,GOBCS,14241,95.73,Government Aided,,Other University
1002,"Government College of Engineering, Amravati",721017210,Electronics and Telecommunication Engg,GNT1S,21723,93.48,Government,,Other University
1002,"Government College of Engineering, Amravati",721017210,Electronics and Telecommunication Engg,LOPENH,67893,79.63,Government Autonomous,,State Level
1002,"Government College of Engineering, Amravati",721017210,Electronics and Telecommunication Engg,DEFOPENS,48237,85.53,Government,,Home University
1002,"Government College of Engineering, Amravati",721017210,Electronics and Telecommunication Engg,TFWS,43780,86.87,Government,,Other University
1002,"Government College of Engineering, Amravati",721017210,Electronics and Telecommunication Engg,PWDOPENS,35185,89.44,Government Autonomous,,Other University
